From,To
1419413_at,20295
1419173_at,109652
1426525_at,73642
1426525_at,77044
1427252_at,56296
1450630_at,60507
1416915_at,17688
1423661_s_at,100043719
1415848_at,18775
1415848_at,215028
1434704_at,69188
1417502_at,21912
1438984_x_at,19172
1418108_at,170799
1452389_at,21940
1416366_at,675851
1416366_at,635087
1416366_at,68197
1425964_x_at,15507
1449457_at,74156
1448105_at,19119
1455572_x_at,100047828
1455572_x_at,627833
1455572_x_at,100039979
1455572_x_at,100042388
1455572_x_at,666746
1455572_x_at,100039740
1455572_x_at,676019
1455572_x_at,667377
1455572_x_at,100047329
1455572_x_at,100042791
1455572_x_at,632022
1455572_x_at,668451
1455572_x_at,20084
1455572_x_at,384525
1455572_x_at,674425
1451763_at,12788
1450591_at,27216
1423525_at,67121
1424447_at,72254
1449908_at,14607
1450433_at,19668
1438695_at,330544
1430811_a_at,66977
1430811_a_at,100048203
1452121_at,71999
1452121_at,638117
1434757_at,12396
1438246_at,214897
1455593_at,238055
1419435_at,11761
1419126_at,15438
1451681_at,216454
1426262_at,240442
1422000_at,622402
1450792_at,22177
1452345_at,93677
1428502_at,67019
1417185_at,110454
1429806_at,57837
1452292_at,71770
1447130_at,27971
1417972_s_at,117109
1426250_s_at,74549
1450647_at,12807
1449026_at,15975
1419458_at,110596
1416430_at,12359
1420895_at,21812
1417928_at,30794
1456001_at,630994
1456001_at,94060
1456001_at,545548
1417597_at,12487
1417597_at,100048845
1427842_at,100040288
1427842_at,16702
1420851_at,93737
1453651_a_at,55951
1453651_a_at,666659
1453651_a_at,100047509
1453651_a_at,100041649
1451451_at,227960
1451141_at,228019
1434138_at,229589
1434138_at,383051
1452450_at,54667
1448969_at,68017
1425257_at,217698
1451821_a_at,20684
1426612_at,66131
1450692_at,16571
1425776_a_at,232196
1420422_at,93892
1423740_a_at,433739
1423740_a_at,236732
1416742_at,23837
1433480_at,100044342
1433480_at,72931
1452546_x_at,246081
1426426_at,67920
1427034_at,11421
1426030_a_at,235606
1424237_at,67778
1460635_at,66587
1438974_x_at,18739
1460692_at,110147
1417828_at,11833
1421967_at,56336
1423710_at,78920
1438659_x_at,66098
1434442_at,52331
1423514_at,14625
1460711_at,78244
1420981_a_at,16911
1420672_at,16509
1451287_s_at,108897
1422401_at,20766
1438941_x_at,109674
1424138_at,13650
1417783_at,74018
1458041_at,97651
1448489_at,100163
1449389_at,21349
1423737_at,68349
1423737_at,624814
1423737_at,100044600
1449173_at,50997
1454893_at,68521
1417444_at,13559
1422651_at,11450
1419120_at,17095
1452066_a_at,76273
1427208_at,98403
1420808_at,27057
1420808_at,627557
1450359_at,14343
1426664_x_at,212980
1428501_at,100048133
1427412_s_at,192786
1419947_at,52164
1452481_at,18796
1419675_at,18049
1417925_at,20299
1422124_a_at,19264
1420381_a_at,668850
1420381_a_at,626367
1420381_a_at,665533
1420381_a_at,432681
1420381_a_at,100042740
1420381_a_at,668536
1420381_a_at,665562
1420381_a_at,100043192
1420381_a_at,675018
1420381_a_at,638399
1420381_a_at,675768
1420381_a_at,668409
1420381_a_at,114641
1420381_a_at,667682
1420381_a_at,673582
1448026_at,320790
1427595_at,382567
1427595_at,107476
1450827_at,71819
1454898_s_at,67732
1418518_at,18550
1450262_at,56708
1423447_at,270166
1450336_at,233904
1450551_x_at,100044243
1450551_x_at,100044244
1450551_x_at,93969
1450551_x_at,16627
1450551_x_at,27423
1418102_at,15205
1439070_x_at,236604
1435128_at,108100
1449494_at,67295
1449494_at,100044883
1450654_a_at,67422
1427005_at,20620
1426418_at,71093
1455338_at,239559
1438223_at,547127
1438223_at,77106
1452479_at,100044236
