From,To
1450864_at,Gm7743
1450864_at,CALM3
1450864_at,CALM2
1450864_at,CALM1
1427716_at,PRSS44
1428081_at,klhl21
1419208_at,MAP3K8
1448507_at,EFHD1
1451707_s_at,SLC41A3
1427042_at,MAL2
1426879_at,1190005F20Rik
1452673_at,RANBP3
1416224_at,ZBTB17
1448582_at,CTNNBL1
1423862_at,plekhf2
1449281_at,Nrtn
1435791_x_at,Gm8358
1435791_x_at,Gm8371
1435791_x_at,LOC545379
1435791_x_at,Gm10294
1435791_x_at,Gm8081
1435791_x_at,LOC100041933
1435791_x_at,LOC100046300
1435791_x_at,Gm10362
1435791_x_at,RpL17
1435791_x_at,Gm3800
1435791_x_at,Gm8776
1435791_x_at,Gm10164
1435791_x_at,LOC100045527
1435791_x_at,LOC100047874
1435791_x_at,Gm10223
1435791_x_at,Gm7299
1435791_x_at,LOC100048228
1452082_at,6430548M08Rik
1425145_at,IL1RL1
1450082_s_at,ETV5
1450352_at,MTNR1A
1430019_a_at,HNRNPA1L2
1430019_a_at,Gm8652
1430019_a_at,Gm6296
1430019_a_at,Gm13418
1430019_a_at,LOC675311
1430019_a_at,Gm5643
1430019_a_at,Gm5461
1430019_a_at,HNRNPA1
1430019_a_at,LOC100044632
1450252_at,ONECUT1
1436788_at,ACP2
1416805_at,fam198b
1431803_at,Cyp2d13
1422833_at,FOXA2
1451025_at,arl1
1452640_at,Gm5945
1452640_at,3110007F17Rik
1452640_at,Gm2411
1452640_at,Gm14957
1452640_at,Gm6604
1452640_at,Gm5167
1448149_at,Ctnna1
1441134_at,Zfp518b
1427487_at,ABCF2
1420758_at,5830411J07Rik
1431507_a_at,synj2bp
1431507_a_at,Gm4116
1431507_a_at,COX16
1416066_at,CD9
1422352_at,Mcpt1
1442492_at,DXErtd11e
1423885_at,LAMC1
1436384_at,rps10
1436384_at,Gm9180
1448217_a_at,LOC631649
1448217_a_at,Rpl27
1448217_a_at,Gm15730
1448217_a_at,Gm6301
1448217_a_at,Gm6199
1448217_a_at,Gm11518
1448217_a_at,Gm6341
1448217_a_at,Gm7053
1448217_a_at,Gm6599
1448217_a_at,Gm11552
1421566_at,Pet2
1426368_at,LOC100044115
1426368_at,RIN2
1424175_at,tef
1435301_at,1110004E09Rik
1452225_at,2010106G01Rik
1424988_at,MYLIP
1435450_at,CPNE3
1449145_a_at,cav1
1415785_a_at,CCT8
1418546_a_at,STAMBPL1
1416692_at,2210409E12Rik
1416692_at,COIL
1422250_at,MAP3K2
1436419_a_at,1700097N02Rik
1452122_at,AI314180
1417157_at,ACTR10
1416679_at,abcd3
1424835_at,GSTM4
1419560_at,lipC
1449907_at,bcmo1
1450019_at,LOC100048875
1450019_at,LOC100047704
1450019_at,Cx3cr1
1419007_at,zp3
1416096_at,VIPAR
1423993_at,Gm9349
1423993_at,ATP6V1F
1417489_at,NPY2R
1424219_at,MRM1
1450734_at,SEC16B
1416318_at,Serpinb1a
1435622_at,Hs3st3a1
1452329_at,Plekhn1
1448260_at,Uchl1
1425429_s_at,HIF3A
1443461_at,C79130
1456039_at,SNX14
1450491_at,Ptger1
1416287_at,RGS4
1425780_a_at,TMEM167
1432453_a_at,MS4A10
1455480_s_at,ube2d3
1455480_s_at,Gm4596
1455480_s_at,Gm15361
1427964_at,CMTM8
1450221_at,4933417A18Rik
1450422_a_at,Kdelc1
1420416_at,LOC100044161
1420416_at,SEMA3A
1445367_at,Pgm3
1449835_at,Pdcd1
1442900_at,PRDM5
1420930_s_at,CTNNAL1
1428995_at,Gm10345
1425156_at,Gbp6
1417731_at,LOC631302
1417731_at,PQBP1
1418096_at,DOK3
1448701_a_at,KRIT1
1423342_at,barx1
1424691_at,5930434B04Rik
1424691_at,LOC100047034
1422069_at,MC1R
1434958_at,SACS
1448758_at,Gm6740
1417626_at,PDE4DIP
1450770_at,3632451O06Rik
1418924_at,RASSF7
1424223_at,1700020C11Rik
1428772_at,Xpot
1418073_at,acot9
1451982_at,MAP2K4
1451747_a_at,Atg12
1416235_at,LRRC59
1451603_at,RTBDN
1424937_at,PLIN5
1424052_at,THAP4
1420723_at,Vnn3
1452312_at,2810002D19Rik
1420131_s_at,Pttg1ip
1416656_at,CLIC1
1427908_at,BNIP1
1425740_at,suv420h1
1449405_at,TNS1
1419413_at,Ccl17
1419173_at,ACY1
1426525_at,ARID2
1427252_at,DMRTB1
1450630_at,Qtrt1
1416915_at,msh6
1423661_s_at,Gm9770
1415848_at,Prl3d2
1415848_at,Prl3d1
1434704_at,MLL5
1417502_at,TSPAN7
1438984_x_at,PSMB4
1418108_at,RTKN2
1452389_at,CD27
1416366_at,LOC675851
1416366_at,LOC635087
1416366_at,NDUFC2
1425964_x_at,Hspb1
1449457_at,ACOT12
1448105_at,Prm2
1455572_x_at,LOC100047329
1455572_x_at,Gm8268
1455572_x_at,LOC100047828
1455572_x_at,Gm6794
1455572_x_at,LOC674425
1455572_x_at,Gm5321
1455572_x_at,Gm10260
1455572_x_at,LOC676019
1455572_x_at,Gm10027
1455572_x_at,Gm11361
1455572_x_at,Gm8599
1455572_x_at,rps18
1455572_x_at,Gm11230
1455572_x_at,Gm9175
1455572_x_at,LOC632022
1451763_at,CNGA1
1450591_at,Olfr154
1423525_at,MASTL
1424447_at,1700030K09Rik
1449908_at,GIP
1450433_at,RBPJL
1438695_at,C230091D08Rik
1430811_a_at,NUF2
1430811_a_at,LOC100048203
1452121_at,LOC638117
1452121_at,Fbxo22
1434757_at,CBFA2T2
1438246_at,CSNK1G1
1455593_at,Apob
1419435_at,AOX1
1419126_at,HOXD9
1451681_at,BC089597
1426262_at,adnp2
1422000_at,Akr1c12
1450792_at,TYROBP
1452345_at,lmod2
1428502_at,ACTR6
1417185_at,Ly6a
1429806_at,ERAL1
1452292_at,AP2B1
1447130_at,D8Wsu26e
1417972_s_at,pop5
1426250_s_at,9130404D08Rik
1450647_at,Hps3
1449026_at,IFNAR1
1419458_at,RGNEF
1416430_at,cat
1420895_at,tgfbr1
1417928_at,PDLIM4
1456001_at,Lce3c
1456001_at,Gm9782
1456001_at,Lce3a
1417597_at,LOC100048845
1417597_at,CD28
1427842_at,Gm2692
1420851_at,PARD6G
1453651_a_at,Gm8219
1453651_a_at,Brp44l
1453651_a_at,Gm3452
1453651_a_at,LOC100047509
1451451_at,Gca
1451141_at,Mettl8
1434138_at,PRUNE
1434138_at,Gm5217
1452450_at,ATP8B2
1448969_at,FTSJ2
1425257_at,Acot5
1451821_a_at,Sp100
1426612_at,TIPIN
1450692_at,Kif4
1425776_a_at,C87436
1420422_at,Pcdhb21
1423740_a_at,Gm12799
1423740_a_at,RBM10
1416742_at,cfdp1
1433480_at,LOC100044342
1433480_at,2900010J23Rik
1452546_x_at,Defb11
1426426_at,MAK16
1427034_at,ACE
1426030_a_at,APEH
1424237_at,Zfp639
1460635_at,FASTK
1438974_x_at,PITPNM1
1460692_at,EHMT2
1417828_at,AQP8
1421967_at,B4galt5
1423710_at,DLST
1438659_x_at,CHCHD6
1434442_at,STBD1
1423514_at,Gykl1
1460711_at,Dnajc21
1420981_a_at,Lmo4
1420672_at,KCNE1
1451287_s_at,aif1l
1422401_at,Sprr3
1438941_x_at,ampd2
1424138_at,Rhbdf1
1417783_at,ALS2
1458041_at,C80360
1448489_at,Pafah2
1449389_at,tal1
1423737_at,Gm12251
1423737_at,LOC100044600
1423737_at,ndufs3
1449173_at,MPP2
1454893_at,FAM189B
1417444_at,E2f5
1422651_at,ADIPOQ
1419120_at,Lyl1
1452066_a_at,NDFIP2
1427208_at,Zfp451
1420808_at,NCOA4
1420808_at,Gm6768
1450359_at,Fut1
1426664_x_at,SLC45A3
1428501_at,LOC100048133
1427412_s_at,RAPGEF6
1419947_at,D4Ertd117e
1452481_at,PLCB2
1419675_at,Ngf
1417925_at,CCL22
1422124_a_at,Ptprc
1420381_a_at,rpl31
1420381_a_at,LOC675768
1420381_a_at,Gm8759
1420381_a_at,LOC638399
1420381_a_at,Gm10191
1420381_a_at,Gm7689
1420381_a_at,Gm16382
1420381_a_at,Gm5437
1420381_a_at,Gm9401
1420381_a_at,Gm9228
1420381_a_at,Gm9154
1420381_a_at,Gm6670
1420381_a_at,Gm13004
1420381_a_at,LOC675018
1420381_a_at,Gm10072
1448026_at,chd7
1427595_at,ACACA
1427595_at,Gm5182
1450827_at,KIF23
1454898_s_at,IAH1
1418518_at,Furin
1450262_at,CLCF1
1423447_at,clpX
1450336_at,SETD1A
1450551_x_at,LOC100044243
1450551_x_at,LOC100044244
1450551_x_at,Klra22
1450551_x_at,KLRA1
1450551_x_at,Klra15
1418102_at,hes1
1439070_x_at,Pisd-ps1
1435128_at,BAIAP2
1449494_at,LOC100044883
1449494_at,Rab3c
1450654_a_at,DHDDS
1427005_at,plk2
1426418_at,ATOH8
1455338_at,A4GALT
1438223_at,Tmem181a
1438223_at,Tmem181b
1452479_at,Copg2as2
1425323_a_at,FAM173A
1420463_at,Clnk
1421683_at,Gm3448
1421683_at,Gm3417
1421683_at,TCTE3
1449345_at,CCDC34
1418704_at,S100A13
1437345_a_at,BSCL2
1436337_at,4930420K17Rik
1416775_at,ATP5SL
1423287_at,cbln1
1423287_at,LOC100046314
1425463_at,GATA6
1432414_at,Gm13999
1424871_s_at,Fam100a
1448561_at,Ncf2
1448561_at,Ncf2-rs
1438391_x_at,HSD17B10
1428449_at,MPV17
1428449_at,GTF3C2
1449027_at,RHOU
1428044_at,ap3s2
1423523_at,aass
1448691_at,UBQLN4
1459892_at,AA408156
1426626_at,gtf2f2
1422587_at,TMEM45A
1424764_at,SEZ6L
1455060_at,G3BP1
1455742_x_at,MORF4L1
1455742_x_at,Gm4835
1455742_x_at,Gm8663
1455742_x_at,Gm6747
1455742_x_at,A730098P11Rik
1425744_a_at,Mgat5
1422619_at,PPAP2A
1419349_a_at,Cyp2d9
1426402_at,SYNCRIP
1459916_at,PAX5
1425826_a_at,SORBS1
1426455_at,Cwc27
1451024_at,S1PR4
1435714_x_at,LOC100046772
1424082_at,TBC1D13
1418695_a_at,KCMF1
1451652_a_at,tmem188
1451486_at,SLC46A3
1418136_at,TGFB1I1
1422215_at,4930542C12Rik
1418589_a_at,MLF1
1427115_at,Myh3
1420799_at,LOC100047803
1420799_at,Ntsr1
1418204_s_at,Aif1
1424687_at,HEATR6
1423612_at,clp1
1428803_at,ACOT6
1418196_at,TEP1
1422497_at,SLC30A5
1426722_at,slc38a2
1439110_at,A930012O16Rik
1451764_at,marveld3
1449532_at,CHRNG
1454706_at,UVRAG
1435573_at,OTUD5
1419154_at,Tmprss2
1418777_at,ccl25
1431724_a_at,p2ry12
1449858_at,CD86
1426844_a_at,pdcd2l
1426875_s_at,Srxn1
1434842_s_at,NKAP
1434842_s_at,Rhox3b
1434842_s_at,Rhox1
1434842_s_at,Upf3b
1451244_a_at,Zfp422
1423269_a_at,Nedd4l
1424523_at,ELMO1
1416257_at,CAPN2
1435561_at,erF
1438250_s_at,Gm12372
1438250_s_at,Gm14335
1438250_s_at,TAF9
1438250_s_at,LOC100048542
1417259_a_at,CAPZB
1416332_at,Cirbp
1424028_at,Gm2180
1424028_at,chtf8
1449525_at,fmo3
1452381_at,CREB3L2
1425575_at,EPHA3
1429620_at,8430406I07Rik
1419350_at,HOOK2
1420552_s_at,Tsga8
1416985_at,Sirpa
1423783_at,tor2a
1423888_at,telo2
1421732_at,Glrp1
1422716_a_at,acp1
1422716_a_at,LOC100046234
1422716_a_at,Gm7756
1422716_a_at,LOC631286
1422716_a_at,Gm9723
1449277_at,Gm2023
1449277_at,CCL19
1449277_at,Gm2457
1449277_at,Gm2564
1449277_at,Gm12407
1448317_at,Tmem128
1423320_at,DNASE1L2
1423320_at,LOC100047816
1415796_at,Dazap2
1415796_at,Gm2444
1415796_at,LOC100044943
1452726_a_at,PIH1D1
1427863_at,HIST2H3B
1427863_at,Hist2h2aa2
1427863_at,HIST1H3B
1427863_at,Hist2h3c1
1427863_at,Hist2h2aa1
1427863_at,HIST1H3C
1427863_at,Hist2h3c2
1427863_at,HIST1H3D
1427863_at,HIST1H3E
1427863_at,HIST1H3F
1423434_at,TEAD1
1435981_at,NAV2
1416584_at,MAN2B2
1422541_at,PTPRM
1417710_at,METTL9
1434239_at,Rrp12
1418742_at,KRT34
1449563_at,Cntn1
1417655_a_at,SRRT
1449598_at,DENR
1431056_a_at,LOC669888
1431056_a_at,Lpl
1426316_at,6330416G13Rik
1431711_a_at,9030409G11Rik
1416250_at,BTG2
1416583_at,Bad
1427965_at,SSBP1
1427965_at,Gm12115
1419522_at,zmynd19
1419522_at,LOC100046761
1419047_at,pcnx
1451413_at,cast
1451731_at,ABCA3
1417397_at,slc9a1
1423149_at,Skp1a
1423149_at,Gm12988
1449368_at,DCN
1436186_at,E2F8
1450805_at,SGCD
1418340_at,FCER1G
1417545_at,TRPV4
1434410_at,CRYBG3
1455184_at,Mobkl1a
1418107_at,tcea2
1418036_at,PRIM2
1435998_at,CCNB1IP1
1449301_at,SLC7A13
1443696_s_at,habp2
1423492_at,MRPL45
1422514_at,Aebp1
1426241_a_at,SCMH1
1456736_x_at,MFF
1456736_x_at,LOC637796
1417891_at,Spsb3
1424131_at,Col6a3
1434611_at,RNF123
1437853_x_at,NDN
1424366_at,DOLK
1439437_x_at,CPE
1439437_x_at,LOC100046434
1439437_x_at,LOC677374
1416145_at,DHX15
1417381_at,C1qa
1433495_at,GLT25D1
1417447_at,Tcf21
1424544_at,NRBP2
1418953_at,Fbxo16
1416288_at,Gm15542
1416288_at,Dnaja1-ps
1416288_at,Dnaja1
1416288_at,Gm7816
1416288_at,Gm6335
1418931_at,REG4
1415675_at,Dpm2
1428108_x_at,Tmcc2
1420687_at,4932438H23Rik
1460232_s_at,Hsd3b2
1421272_at,VAV2
1419530_at,IL12B
1422272_at,Phxr4
1419798_at,2610019E17Rik
1417830_at,Smc1a
1448529_at,THBD
1420466_at,MUCL1
1425128_at,B3GNT8
1454670_at,RERE
1418738_at,SCN1B
1429150_at,Ccdc77
1452408_at,trex1
1419735_at,CSN3
1436689_a_at,ALDH9A1
1423923_a_at,Wdr8
1448583_at,AA960436
1448571_a_at,gmfb
1449974_at,GAPDHS
1427434_at,Naip4
1427434_at,Naip6
1427434_at,Naip7
1427434_at,Naip1
1422431_at,Magee1
1450872_s_at,lipA
1452774_at,Gm5550
1452774_at,Gm14398
1452774_at,Gm14730
1452774_at,Gm8991
1452774_at,Gm5896
1452774_at,LOC630507
1452774_at,Gm9242
1452774_at,Gm11847
1452774_at,LOC545974
1452774_at,Gm6641
1452774_at,Gm6153
1452774_at,Gm6758
1452774_at,Hnrnpa3
1452774_at,Gm6793
1452774_at,LOC630401
1452774_at,LOC635773
1452774_at,Gm6254
1452774_at,LOC674654
1452774_at,Gm6528
1452774_at,Gm7551
1452774_at,Gm7498
1452774_at,Gm5469
1452774_at,Gm6506
1452774_at,Gm12986
1435479_at,bmp7
1418060_a_at,Mapk7
1419302_at,heyl
1420722_at,Elovl3
1426945_at,LOC100044315
1426945_at,IPO5
1448445_at,acp6
1424365_at,Gm2036
1424365_at,LOC100039181
1424365_at,1810037I17Rik
1424365_at,Gm15432
1418081_at,Dnajc30
1451664_x_at,Klra7
1417228_at,CAPN1
1418358_at,Smcp
1426579_at,GNL2
1415959_at,SLC2A4
1419174_at,2410004B18Rik
1428675_at,LOC100047869
1424067_at,ICAM1
1416884_at,C7
1416884_at,Gm7721
1416884_at,Gm7469
1416884_at,LOC633016
1416884_at,LOC632383
1416884_at,LOC677441
1416884_at,CBX3
1416884_at,Gm6917
1416884_at,Gm6901
1416884_at,Gm5792
1416884_at,Gm5196
1424872_at,2310001H12Rik
1437330_at,LRRK1
1434735_at,HLF
1420664_s_at,Procr
1416822_at,Dgcr14
1453314_x_at,2610039C10Rik
1416303_at,LITAF
1416550_at,SLC35B4
1452396_at,Sfrs15
1433855_at,ABAT
1424327_at,Gm9364
1424327_at,Gm6843
1424327_at,3200002M19Rik
1455245_x_at,LOC674921
1455245_x_at,RPL13
1455245_x_at,LOC100047098
1455245_x_at,Gm5075
1455245_x_at,Gm15710
1455245_x_at,LOC675192
1455245_x_at,Gm7290
1455245_x_at,Gm12918
1455245_x_at,Gm10071
1455245_x_at,Gm9026
1455245_x_at,Gm7159
1419219_at,Cyp4f18
1419219_at,LOC100044439
1427479_at,Gm8332
1427479_at,LOC641136
1427479_at,Gm5788
1427479_at,Gm2035
1427479_at,Gm2016
1427479_at,LOC640794
1427479_at,Gm16368
1427479_at,Gm2056
1427479_at,Gm5442
1427479_at,LOC630607
1427479_at,LOC546233
1427479_at,Gm8300
1420367_at,DENR
1435468_at,B3gnt9
