Symbol,Affi_ID
Rpo1-3,1448287_at
Prdx3,1416292_at
Nfib,1427680_a_at
Scamp3,1416294_at
Crmp1,1448289_at
Il2rg,1416295_a_at
Pap,1416297_s_at
Mmp9,1448291_at
Shcbp1,1416299_at
Uqcr,1448292_at
Slc25a3,1416300_a_at
Ebf1,1416301_a_at
Litaf,1416303_at
Sh3bp4,1416305_at
LOC100045306 /// Med10,1448295_at
Clca3,1416306_at
Ap1m1,1416307_at
Ugdh,1416308_at
Nusap1,1416309_at
LOC384954 /// Tuba3a /// Tuba3b,1416311_s_at
Tuba3a,1448296_x_at
Rars,1416312_at
Mllt11,1416313_at
Abhd4,1416315_at
Tnk2,1448297_a_at
Slc27a2,1416316_at
Stambp,1431962_a_at
Slc1a1,1448299_at
Mgst3,1448300_at
Serpinb1a,1416318_at
Adk,1416319_at
Hax1,1426187_a_at
Sec22a,1416320_at
Prelp,1416321_s_at
Kctd20,1416324_s_at
Prl2c2 /// Prl2c3 /// Prl2c4,1427760_s_at
Crisp1,1416325_at
Gpnmb,1448303_at
Crip1,1416326_at
Rab6,1448304_a_at
Ufc1,1416327_at
Atp6v0e,1416328_a_at
Cyfip1,1416329_at
Cd81,1416330_at
Nfe2l1,1416331_a_at
Cirbp,1416332_at
Dok2,1416333_at
Gdpd2,1429076_a_at
Mif,1416335_at
Snrpd1,1416336_s_at
Uqcrb,1416337_at
Sh3gl1,1416338_at
Prkcsh,1416339_a_at
Polr2c,1416341_at
Tnc,1416342_at
Timm8a1,1416345_at
LOC100039343 /// LOC100045062 /// Timm8a1,1416346_at
Spns1,1431284_a_at
Men1,1416347_at
Mrpl34,1416349_at
Klf16,1416350_at
Map2k1,1416351_at
Gpsn2,1416352_s_at
Nr1h2,1416353_at
Hmgn2 /// LOC100039489,1433507_a_at
Gmpr2,1416356_at
Mcam,1416357_a_at
0610009O03Rik,1416358_at
Snag1,1416359_at
Smtn,1452469_a_at
Dync1i1,1416361_a_at
Fkbp4,1416362_a_at
Fkbp4 /// LOC100048743,1416363_at
Hsp90ab1,1416364_at
Ndufc2,1416366_at
1110001J03Rik,1416367_at
Gsta4,1416368_at
Hiatl1,1416369_at
Psmg1,1448307_at
Apod,1416371_at
LOC674712 /// Ptdss1,1416372_at
Nfs1,1416373_at
Ap3m1,1448308_at
Ap3m1 /// LOC544716 /// LOC636327,1416374_at
Ap3m1 /// LOC636327,1416375_at
Tmem97,1416376_at
LOC100048384 /// Pdcd7,1416377_at
Ick,1448310_at
Pnkp,1416378_at
Arntl,1425099_a_at
Panx1,1416379_at
Mov10,1416380_at
Usp5,1448311_at
Pcsk2,1448312_at
Prdx5,1416381_a_at
Ctsc,1416382_at
Cdc2a,1448314_at
Pcx,1416383_a_at
Cope,1416384_a_at
M6pr,1416385_a_at
Pycr2,1448315_a_at
Cmtm3 /// LOC100046883,1448316_at
Pip4k2c,1416387_at
Tmem128,1448317_at
Rcbtb2,1416389_a_at
Ptcd1,1416391_at
Dusp14,1431422_a_at
